Timestamp,Receiver,CodeSpace,Signal,Sensor.Value,Sensor.Unit
2018-04-13 20:26:37,132908,R64K,4529,NA,NA
2018-04-13 20:27:15,132908,R64K,4529,NA,NA
2018-04-13 20:28:07,132908,R64K,4529,NA,NA
2018-04-13 20:28:48,132908,R64K,4529,NA,NA
2018-04-13 20:29:32,132908,R64K,4529,NA,NA
2018-04-13 20:30:19,132908,R64K,4529,NA,NA
2018-04-13 20:31:54,132908,R64K,4529,NA,NA
2018-04-13 20:32:52,132908,R64K,4529,NA,NA
2018-04-13 20:33:27,132908,R64K,4529,NA,NA
2018-04-13 20:34:45,132908,R64K,4529,NA,NA
2018-04-14 00:28:01,132918,R64K,4529,NA,NA
2018-04-14 00:28:51,132918,R64K,4529,NA,NA
2018-04-14 00:29:36,132918,R64K,4529,NA,NA
2018-04-14 04:26:18,132908,R64K,4534,NA,NA
2018-04-14 04:27:33,132908,R64K,4534,NA,NA
2018-04-14 04:27:55,132908,R64K,4534,NA,NA
2018-04-14 04:28:24,132908,R64K,4534,NA,NA
2018-04-14 04:28:52,132908,R64K,4534,NA,NA
2018-04-14 04:29:46,132908,R64K,4534,NA,NA
2018-04-14 04:30:20,132908,R64K,4534,NA,NA
2018-04-14 04:31:18,132908,R64K,4534,NA,NA
2018-04-14 04:32:08,132908,R64K,4534,NA,NA
2018-04-14 04:32:41,132908,R64K,4534,NA,NA
2018-04-14 04:33:12,132908,R64K,4534,NA,NA
2018-04-14 04:33:56,132908,R64K,4534,NA,NA
2018-04-14 04:34:16,132908,R64K,4534,NA,NA
2018-04-14 04:35:09,132908,R64K,4534,NA,NA
2018-04-14 04:35:44,132908,R64K,4534,NA,NA
2018-04-14 04:36:15,132908,R64K,4534,NA,NA
2018-04-14 04:36:52,132908,R64K,4534,NA,NA
2018-04-14 04:37:21,132908,R64K,4534,NA,NA
2018-04-14 04:37:43,132908,R64K,4534,NA,NA
2018-04-14 04:38:25,132908,R64K,4534,NA,NA
2018-04-14 04:39:21,132908,R64K,4534,NA,NA
2018-04-14 04:39:56,132908,R64K,4534,NA,NA
2018-04-14 04:40:53,132908,R64K,4534,NA,NA
2018-04-14 04:41:51,132908,R64K,4534,NA,NA
2018-04-14 04:42:48,132908,R64K,4534,NA,NA
2018-04-14 04:43:17,132908,R64K,4534,NA,NA
2018-04-14 04:43:38,132908,R64K,4534,NA,NA
2018-04-14 04:44:23,132908,R64K,4534,NA,NA
2018-04-14 04:44:48,132908,R64K,4534,NA,NA
2018-04-14 04:45:28,132908,R64K,4534,NA,NA
2018-04-14 04:46:25,132908,R64K,4534,NA,NA
2018-04-14 04:46:46,132908,R64K,4534,NA,NA
2018-04-14 04:47:21,132908,R64K,4534,NA,NA
2018-04-14 04:47:50,132908,R64K,4534,NA,NA
2018-04-14 04:48:18,132908,R64K,4534,NA,NA
2018-04-14 04:49:05,132908,R64K,4534,NA,NA
2018-04-14 04:49:49,132908,R64K,4534,NA,NA
2018-04-14 04:50:35,132908,R64K,4534,NA,NA
2018-04-14 04:50:56,132908,R64K,4534,NA,NA
